station_name,free_park_space,total_park_space,year,day&month,hour&min
ANTI,0208,0280,2022,01-12,22:47
COME,0366,0835,2022,01-12,22:47
CORU,0246,0430,2022,01-12,22:50
EURO,0319,0580,2022,01-12,22:50
FOCH,0130,0540,2022,01-12,22:49
GAMB,0270,0470,2022,01-12,22:50
GARE,347,656,2022,01-12,22:50
Triangle,259,436,2022,01-12,22:56
ARCT,0113,0450,2022,01-12,22:49
Pitot,375,588,2022,01-12,22:50
CIRC,0585,1200,2018,05-30,14:02
SABI,0246,0485,2022,01-12,22:51
GARD,0303,0395,2022,01-12,22:48
SABL,0252,0372,2022,01-12,22:49
MOSS,0179,0423,2022,01-12,22:48
SJLC,0215,0290,2022,01-12,22:49
MEDC,0172,0255,2022,01-12,22:50
OCCI,0437,0627,2022,01-12,22:49
VICA,0084,0084,2022,01-12,22:47
GAUMONT-EST,0108,0109,2022,01-12,22:51
GAUMONT-OUEST,0137,0250,2022,01-12,22:51
CDGA,0111,0260,2022,01-12,22:49
ARCE,0207,0230,2022,01-12,22:50
POLY,1448,1911,2022,01-04,18:57
ANTI,0208,0280,2022,01-12,22:53
COME,0379,0835,2022,01-12,22:53
CORU,0247,0430,2022,01-12,22:53
EURO,0319,0580,2022,01-12,22:53
FOCH,0138,0540,2022,01-12,22:54
GAMB,0270,0470,2022,01-12,22:53
GARE,366,656,2022,01-12,22:54
Triangle,263,436,2022,01-12,23:00
ARCT,0111,0450,2022,01-12,22:54
Pitot,378,588,2022,01-12,22:54
CIRC,0585,1200,2018,05-30,14:02
SABI,0247,0485,2022,01-12,22:56
GARD,0303,0395,2022,01-12,22:53
SABL,0253,0372,2022,01-12,22:54
MOSS,0180,0423,2022,01-12,22:53
SJLC,0216,0290,2022,01-12,22:54
MEDC,0172,0255,2022,01-12,22:55
OCCI,0437,0627,2022,01-12,22:54
VICA,0084,0084,2022,01-12,22:52
GAUMONT-EST,0108,0109,2022,01-12,22:56
GAUMONT-OUEST,0146,0250,2022,01-12,22:56
CDGA,0111,0260,2022,01-12,22:54
ARCE,0207,0230,2022,01-12,22:56
POLY,1448,1911,2022,01-04,18:57
ANTI,0190,0280,2022,01-13,09:29
COME,0500,0835,2022,01-13,09:29
ANTI,0189,0280,2022,01-13,09:38
COME,0493,0835,2022,01-13,09:38
CORU,0287,0430,2022,01-13,09:38
EURO,0317,0580,2022,01-13,09:38
FOCH,0202,0540,2022,01-13,09:39
GAMB,0240,0470,2022,01-13,09:38
GARE,300,656,2022,01-13,09:40
Triangle,146,436,2022,01-13,09:45
ARCT,0119,0450,2022,01-13,09:39
ANTI,0187,0280,2022,01-13,09:44
COME,0490,0835,2022,01-13,09:44
CORU,0285,0430,2022,01-13,09:44
EURO,0315,0580,2022,01-13,09:44
ANTI,0187,0280,2022,01-13,09:44
COME,0490,0835,2022,01-13,09:44
CORU,0285,0430,2022,01-13,09:44
EURO,0315,0580,2022,01-13,09:44
FOCH,0193,0540,2022,01-13,09:44
ANTI,0185,0280,2022,01-13,10:05
COME,0462,0835,2022,01-13,10:05
ANTI,0185,0280,2022,01-13,11:08
COME,0407,0835,2022,01-13,11:08
CORU,0265,0430,2022,01-13,11:08
EURO,0308,0580,2022,01-13,11:08
FOCH,0115,0540,2022,01-13,11:09
GAMB,0238,0470,2022,01-13,11:08
GARE,300,656,2022,01-13,11:10
Triangle,109,436,2022,01-13,11:14
