station_name,free_park_space,total_park_space,year,day&month,hour&min
ANTI,0143,0245,2022,01-16,19:35
COME,0450,0835,2022,01-16,19:35
CORU,0073,0430,2022,01-16,19:38
EURO,0478,0580,2022,01-16,19:35
FOCH,0249,0540,2022,01-16,19:34
GAMB,0227,0470,2022,01-16,19:35
GARE,384,656,2022,01-16,19:36
Triangle,295,436,2022,01-16,19:42
ARCT,0149,0450,2022,01-16,19:34
Pitot,398,588,2022,01-16,19:37
CIRC,0585,1200,2018,05-30,14:02
SABI,0253,0485,2022,01-16,19:36
GARD,0310,0395,2022,01-16,19:38
SABL,0241,0372,2022,01-16,19:34
MOSS,0234,0423,2022,01-16,19:38
SJLC,0213,0290,2022,01-16,19:34
MEDC,0170,0255,2022,01-16,19:35
OCCI,0449,0627,2022,01-16,19:34
VICA,0084,0084,2022,01-16,19:37
GAUMONT-EST,0096,0109,2022,01-16,19:36
GAUMONT-OUEST,0063,0250,2022,01-16,19:36
CDGA,0107,0260,2022,01-16,19:34
ARCE,0207,0230,2022,01-16,19:38
ANTI,0143,0245,2022,01-16,19:35
COME,0447,0835,2022,01-16,19:38
CORU,0073,0430,2022,01-16,19:38
EURO,0477,0580,2022,01-16,19:38
FOCH,0249,0540,2022,01-16,19:34
GAMB,0227,0470,2022,01-16,19:38
GARE,382,656,2022,01-16,19:38
Triangle,295,436,2022,01-16,19:42
ARCT,0149,0450,2022,01-16,19:34
Pitot,398,588,2022,01-16,19:37
CIRC,0585,1200,2018,05-30,14:02
SABI,0253,0485,2022,01-16,19:36
GARD,0310,0395,2022,01-16,19:38
SABL,0241,0372,2022,01-16,19:39
MOSS,0234,0423,2022,01-16,19:38
SJLC,0213,0290,2022,01-16,19:39
MEDC,0170,0255,2022,01-16,19:35
OCCI,0448,0627,2022,01-16,19:39
VICA,0084,0084,2022,01-16,19:37
GAUMONT-EST,0096,0109,2022,01-16,19:36
GAUMONT-OUEST,0063,0250,2022,01-16,19:36
CDGA,0107,0260,2022,01-16,19:39
ARCE,0207,0230,2022,01-16,19:38
